ID,post_parent,sku,post_title,post_excerpt,post_content,post_status,regular_price,sale_price,stock_status,stock,manage_stock,weight,length,width,height,images,tax:product_type,tax:product_cat,tax:product_tag,visibility,featured,downloadable,virtual,backorders,low_stock_amount,menu_order,tax_status,tax_class,shipping_class,attribute:pa_velikost,attribute_data:pa_velikost,attribute_default:pa_velikost,meta:attribute_pa_velikost,parent_sku
1000,,019228,Pánské kopačky turfy Adidas Mundial Team TF černé,"Pánské kopačky turfy Adidas Mundial Team TF v černém provedení jsou vysoce kvalitní fotbalovou obuví, která nabízí optimální výkon a pohodlí na umělých površích. Tyto kopačky jsou součástí ikonické řady Mundial Team od značky Adidas, která je známá svým dokonalým spojením tradičního designu a moderních technologií.

Hlavním rysem těchto kopaček je jejich precizní konstrukce a odolnost. Jsou vyrobeny z vysoce kvalitního materiálu, který zajišťuje dlouhou životnost a odolnost proti opotřebení. Černá barva přidává kopačkám elegantní a profesionální vzhled.",,publish,3500.164,3236.76,instock,6,yes,0.9,,,,,Variable,Muži > Pánské boty,,visible,no,no,no,no,,0,taxable,,,36|36 2/3|37 1/3|38|38 2/3|39 1/3|40|40 2/3|41 1/3|42|42 2/3|43 1/3|44|44 2/3|45 1/3|46|46 2/3|47 1/3|48|48 2/3,0|1|1,36,,
1001,1000,019228_1,Pánské kopačky turfy Adidas Mundial Team TF černé 36,Velikost: 36,,publish,3500.164,3236.76,instock,6,yes,0.9,,,,,,,,visible,no,no,no,no,,1,taxable,,,,,,36,019228
1002,1000,019228_2,Pánské kopačky turfy Adidas Mundial Team TF černé 36 2/3,Velikost: 36 2/3,,publish,3500.164,3236.76,instock,1,yes,0.9,,,,,,,,visible,no,no,no,no,,2,taxable,,,,,,36 2/3,019228
1003,1000,019228_3,Pánské kopačky turfy Adidas Mundial Team TF černé 37 1/3,Velikost: 37 1/3,,publish,3503.8749,3236.76,instock,6,yes,0.9,,,,,,,,visible,no,no,no,no,,3,taxable,,,,,,37 1/3,019228
1004,1000,019228_4,Pánské kopačky turfy Adidas Mundial Team TF černé 38,Velikost: 38,,publish,3503.8749,3236.76,instock,41,yes,0.9,,,,,,,,visible,no,no,no,no,,4,taxable,,,,,,38,019228
1005,1000,019228_5,Pánské kopačky turfy Adidas Mundial Team TF černé 38 2/3,Velikost: 38 2/3,,publish,3503.8749,3236.76,instock,24,yes,0.9,,,,,,,,visible,no,no,no,no,,5,taxable,,,,,,38 2/3,019228
1006,1000,019228_6,Pánské kopačky turfy Adidas Mundial Team TF černé 39 1/3,Velikost: 39 1/3,,publish,3503.8749,3236.76,instock,50,yes,0.9,,,,,,,,visible,no,no,no,no,,6,taxable,,,,,,39 1/3,019228
1007,1000,019228_7,Pánské kopačky turfy Adidas Mundial Team TF černé 40,Velikost: 40,,publish,3503.8749,3236.76,instock,120,yes,0.9,,,,,,,,visible,no,no,no,no,,7,taxable,,,,,,40,019228
1008,1000,019228_8,Pánské kopačky turfy Adidas Mundial Team TF černé 40 2/3,Velikost: 40 2/3,,publish,3503.8749,3236.76,instock,58,yes,0.9,,,,,,,,visible,no,no,no,no,,8,taxable,,,,,,40 2/3,019228
1009,1000,019228_9,Pánské kopačky turfy Adidas Mundial Team TF černé 41 1/3,Velikost: 41 1/3,,publish,3503.8749,3236.76,instock,147,yes,0.9,,,,,,,,visible,no,no,no,no,,9,taxable,,,,,,41 1/3,019228
